tokenizer,concurrency,n_requests,p50_ms,p95_ms,p99_ms,mean_ms,max_ms,throughput_req_s
gpt2,1,1000,0.08071400043263566,0.13599670037365275,0.19287993955913404,0.24544929601415788,153.69563700005529,4074.1612065667464
gpt2,4,1000,0.315273499381874,0.48333044983337436,0.6294948903632758,0.33034407200739224,0.8241989999078214,12108.587194234533
gpt2,16,1000,1.1800800002674805,2.2914761999345497,2.8628370903334126,1.1638612810038467,5.359044000215363,13747.342798619244
gpt2,64,1000,0.9776455003702722,2.2725405499841145,3.7888859394843166,1.0280794500131378,5.373111999688263,62251.99813028277
llama2,1,1000,0.08450499990431126,0.13479400017786247,0.18493463044251243,0.10203065600944683,5.453825000586221,9800.975894023575
llama2,4,1000,0.3274509999755537,0.4742160000205331,0.6034635797823285,0.3398351489959168,4.812504000256013,11770.412836395744
llama2,16,1000,1.3211499999670195,2.6203918997452997,3.912965910276398,1.2889678240044304,5.629414000395627,12413.032895028266
llama2,64,1000,1.25292550001177,4.072700749975411,6.367108069598541,1.532336522006517,10.881999000048381,41766.28245876124
tiktoken-gpt-3.5,1,1000,0.024337000013474608,0.05977095024718435,0.08429995952610624,0.034054757987178164,5.1770789996226085,29364.47237054236
tiktoken-gpt-3.5,4,1000,0.4031619996567315,0.8057770498453458,1.1191955602498636,0.44389617300657846,5.027163999329787,9011.116209692398
tiktoken-gpt-3.5,16,1000,1.4449820005211222,3.3157183499497473,5.366850329983208,2.916148097995574,152.92788700025994,5486.6897915773425
tiktoken-gpt-3.5,64,1000,3.064913500111288,8.643518949975258,12.068694750041685,3.683692268999039,16.78022099986265,17373.872551354725
tiktoken-gpt-4o,1,1000,0.030072500067035435,0.06124795031610119,0.08608497962995898,0.036805080996600736,4.804936000255111,27170.16164405014
tiktoken-gpt-4o,4,1000,0.3902954999830399,0.8563559001686372,1.1371769295328698,0.45357066597898665,6.110676000389503,8818.912465087225
tiktoken-gpt-4o,16,1000,1.4889199997014657,3.3719831005328142,4.584439850377746,1.651358497979345,7.908298000074865,9688.992438394274
tiktoken-gpt-4o,64,1000,2.7325785003995406,8.999110550439582,12.039666930077145,3.410647228000016,17.1413769994615,18764.766837973224
